Book_Name,Author,5_star,Ratings,Reviews
Sarum: The Novel of England,Edward Rutherfurd,4.08,"43,463","1,728","17,490","15,411","7,819","1,975",768
Being and Nothingness,Jean-Paul Sartre,3.98,"29,780",493,"10,927","10,541","5,986","1,536",790
Tao of Pooh and Te of Piglet Boxed Set,Benjamin Hoff,4.13,"13,088",590,"5,718","4,364","2,211",571,224
The Beach,Alex Garland,3.96,"82,451","3,380","26,558","32,887","17,536","4,245","1,225"
The Lottery,Shirley Jackson,4.07,"78,789","4,707","30,046","29,281","15,138","3,322","1,002"
Ceremony,Leslie Marmon Silko,3.82,"21,572","1,767","6,767","7,242","5,122","1,793",648
To Say Nothing of the Dog,Connie Willis,4.11,"38,240","4,427","15,660","14,185","6,047","1,600",748
Homo Faber,Max Frisch,3.71,"23,484",795,"6,229","8,357","5,733","2,234",931
The White Dragon,Anne McCaffrey,4.19,"45,689",967,"20,192","15,879","8,040","1,302",276
The Rebel,Albert Camus,4.14,"14,526",688,"6,008","5,428","2,412",525,153
Cheaper by the Dozen,Frank B. Gilbreth Jr.,3.99,"42,114","2,183","15,446","14,709","8,887","2,113",959
Goodbye to All That,Robert Graves,3.92,"14,096",774,"4,755","5,304","2,701",809,527
Rabbit Is Rich,John Updike,3.91,"16,552",682,"5,388","6,226","3,531",952,455
That Hideous Strength,C.S. Lewis,3.90,"36,923","2,469","12,798","12,072","8,435","2,711",907
Andersonville,MacKinlay Kantor,4.11,"7,775",376,"3,135","2,887","1,349",254,150
Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,4.05,"78,186","5,632","30,805","26,382","16,314","3,546","1,139"
From Hell,Alan Moore,4.18,"38,747","2,260","18,049","12,672","5,778","1,636",612
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Ray Cruz,4.23,"181,605","3,067","94,622","48,620","28,124","6,841","3,398"
The Elfstones of Shannara,Terry Brooks,3.98,"69,416","1,839","24,319","25,177","15,003","3,747","1,170"
The Book of Laughter and Forgetting,Milan Kundera,3.97,"46,042","2,457","14,573","19,110","9,580","2,133",646
Orthodoxy,G.K. Chesterton,4.17,"35,985","2,288","17,899","10,361","4,863","1,670","1,192"
Endgame,Samuel Beckett,3.80,"20,249","1,032","6,310","6,906","4,538","1,695",800
The City and the Stars,Arthur C. Clarke,4.08,"32,026","1,334","12,037","12,235","6,320","1,172",262
A Ring of Endless Light,Madeleine L'Engle,4.17,"19,087",882,"8,473","6,308","3,491",640,175
Ringworld,Larry Niven,3.95,"116,488","4,150","39,753","42,242","25,646","6,998","1,849"
The Baron in the Trees,Italo Calvino,4.03,"39,627","2,170","14,191","15,222","7,868","1,825",521
Animal Dreams,Barbara Kingsolver,4.06,"70,022","2,731","24,736","28,648","13,596","2,333",709
The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,4.64,"118,340",982,"88,677","20,650","6,583","1,306","1,124"
Wyrd Sisters,Terry Pratchett,4.15,"109,167","4,131","43,161","42,945","19,610","2,758",693
Asterix the Gaul,René Goscinny,4.18,"27,741",715,"12,653","9,240","4,584",802,462
Hogfather,Terry Pratchett,4.25,"88,586","3,338","40,878","31,894","13,123","2,034",657
Love You Forever,Robert Munsch,4.37,"228,331","5,826","149,048","39,522","22,471","8,719","8,571"
London Fields,Martin Amis,3.69,"11,648",859,"3,064","4,132","2,780","1,124",548
"Selected Poems, 1923-1958",E.E. Cummings,4.18,"1,048",58,451,390,165,33,9
The Chrysalids,John Wyndham,3.93,"51,828","2,946","15,996","20,860","11,199","2,744","1,029"
Presumed Innocent,Scott Turow,4.10,"113,346","1,823","42,224","45,912","20,980","3,153","1,077"
White Album,Joan Didion,4.09,"30,289","2,747","11,126","12,352","5,577","1,023",211
Battlefield Earth: A Saga of the Year 3000,L. Ron Hubbard,3.54,"22,367","1,429","6,657","6,136","4,667","2,436","2,471"
Men at Arms,Terry Pratchett,4.39,"94,252","2,630","49,878","33,423","9,461",943,547
In the Skin of a Lion,Michael Ondaatje,3.86,"17,454","1,158","5,403","6,271","4,087","1,276",417
A Fire Upon the Deep,Vernor Vinge,4.13,"57,349","2,820","24,494","20,374","9,093","2,440",948
"The History of Sexuality, Volume 1: An Introduction",Michel Foucault,4.03,"21,450","1,066","7,815","8,157","4,128","1,021",329
The Body in the Library,Agatha Christie,3.84,"92,940","5,873","22,764","38,005","27,328","4,127",716
The Seat of the Soul,Gary Zukav,4.01,"45,111",966,"18,865","13,356","8,848","2,748","1,294"
The Haj,Leon Uris,4.05,"13,662",510,"5,070","5,122","2,767",522,181
Sphere,Michael Crichton,3.82,"178,197","3,989","47,891","66,666","49,543","11,590","2,507"
The Devil's Arithmetic,Jane Yolen,4.02,"57,779","2,624","22,716","19,783","10,867","2,704","1,709"
A History of the World in 10½  Chapters,Julian Barnes,3.88,"14,608","1,107","4,336","5,691","3,369",962,250
We the Living,Ayn Rand,3.94,"28,300","1,548","10,163","9,575","6,024","1,739",799
The Basic Writings of C.G. Jung,C.G. Jung,4.16,432,26,183,149,86,12,2
Child of God,Cormac McCarthy,3.84,"39,846","3,325","10,055","17,229","9,565","2,242",755
El llano en llamas,Juan Rulfo,4.20,"18,932","1,265","8,666","6,403","3,004",656,203
The Confusions of Young Törless,Robert Musil,3.69,"8,203",552,"2,068","2,849","2,236",761,289
Bag of Bones,Stephen King,3.91,"190,070","5,272","63,659","64,912","46,376","11,844","3,279"
The Diary of Anne Frank: And Related Readings,Frances Goodrich,4.08,"9,576",742,"3,876","3,365","1,745",437,153
Zeno's Conscience,Italo Svevo,3.79,"23,319","1,058","6,556","8,465","5,772","1,845",681
Sacajawea,Anna Lee Waldo,4.25,"15,927",503,"7,828","4,983","2,532",442,142
Long Walk to Freedom,Nelson Mandela,4.34,"81,675","4,565","44,215","25,500","8,610","1,935","1,415"
The Neon Rain,James Lee Burke,3.92,"24,583","1,505","7,695","9,642","5,443","1,307",496
L'Écume des jours,Boris Vian,3.95,"33,799","1,619","12,991","10,832","6,442","2,387","1,147"
"Galileo's Daughter: A Historical Memoir of Science, Faith and Love",Dava Sobel,3.75,"28,914","1,710","7,515","10,691","7,553","2,136","1,019"
Prozac Nation,Elizabeth Wurtzel,3.62,"59,486","2,162","14,857","18,374","17,342","6,528","2,385"
The Amityville Horror,Jay Anson,3.84,"122,954","3,785","40,893","37,230","32,247","9,567","3,017"
The Anubis Gates,Tim Powers,3.91,"15,558","1,453","5,182","5,570","3,365","1,062",379
Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,Scott Dikkers,4.14,"13,143",131,"5,739","4,479","2,173",486,266
Malone Dies,Samuel Beckett,3.86,"4,696",428,"1,551","1,619",994,369,163
Rumble Fish,S.E. Hinton,3.79,"21,593","1,225","5,713","7,656","6,567","1,377",280
Life: A User's Manual,Georges Perec,4.19,"8,377",813,"4,194","2,388","1,202",408,185
Fatelessness,Imre Kertész,4.07,"10,577",917,"3,949","4,170","1,856",485,117
Rainbow Valley,L.M. Montgomery,4.01,"46,765","1,888","16,963","16,436","10,546","2,288",532
Time and Again,Jack Finney,3.95,"21,604","2,607","7,474","7,700","4,655","1,352",423
Herland,Charlotte Perkins Gilman,3.48,"19,312","2,062","3,348","6,131","6,874","2,350",609
Davita's Harp,Chaim Potok,4.02,"6,117",442,"2,100","2,395","1,317",241,64
"Gabriela, clavo y canela",Jorge Amado,4.14,"7,826",565,"3,103","3,126","1,266",265,66
Archangel,Sharon Shinn,4.04,"10,414",824,"3,895","3,864","2,012",488,155
Sacred Hunger,Barry Unsworth,4.11,"6,892",598,"2,907","2,442","1,094",309,140
Women of the Silk,Gail Tsukiyama,3.95,"16,021","1,178","4,742","6,706","3,750",667,156
The Road to Wellville,T. Coraghessan Boyle,3.69,"6,371",450,"1,268","2,583","1,892",504,124
An Echo in the Darkness,Francine Rivers,4.62,"50,068","2,125","35,919","10,377","2,952",545,275
Tender Buttons,Gertrude Stein,3.69,"6,238",542,"2,037","1,782","1,328",636,455
The Grand Sophy,Georgette Heyer,4.16,"31,211","3,809","13,259","11,616","4,832","1,040",464
Olivia,Ian Falconer,4.14,"63,369","1,842","30,804","17,051","10,945","2,949","1,620"
Season of Migration to the North,Tayeb Salih,3.71,"26,070","3,428","6,856","9,317","6,550","2,233","1,114"
Ballet Shoes,Diane Goode,4.07,"35,515","1,586","14,453","11,970","6,873","1,515",704
A Man in Full,Tom Wolfe,3.86,"17,930","1,054","5,051","7,126","4,292","1,147",314
Undaunted Courage: The Pioneering First Mission to Explore America's Wild Frontier,Stephen E. Ambrose,4.20,"59,381","2,896","27,680","20,613","7,875","1,926","1,287"
Our Man in Havana,Graham Greene,3.95,"33,037","2,376","8,765","15,237","7,688","1,174",173
The Rum Diary,Hunter S. Thompson,3.84,"58,141","2,378","15,130","23,348","15,644","3,454",565
Left Behind,Tim LaHaye,3.85,"223,602","4,197","91,411","57,703","40,369","17,158","16,961"
Tripwire,Lee Child,4.11,"114,135","4,453","41,924","47,749","20,549","3,137",776
Tractatus Logico-Philosophicus,Ludwig Wittgenstein,4.08,"18,699",879,"8,184","5,780","3,313",982,440
Dreams from My Father: A Story of Race and Inheritance,Barack Obama,3.93,"219,419","8,483","76,647","79,585","43,145","10,255","9,787"
Evil Under the Sun,Agatha Christie,3.98,"65,558","3,150","19,521","28,041","15,546","2,011",439
Watt,Samuel Beckett,3.91,"3,218",271,"1,150","1,078",674,196,120
The Awakening,L.J. Smith,3.36,"73,891","4,549","16,946","16,998","22,076","11,691","6,180"
Capitães da Areia,Jorge Amado,4.34,"22,889","1,078","12,280","7,216","2,556",592,245
The Iceman Cometh,Eugene O'Neill,3.90,"9,685",302,"3,239","3,468","2,037",643,298
Servant of the Bones,Anne Rice,3.74,"29,948",546,"8,442","9,392","8,825","2,590",699
The Crusades Through Arab Eyes,Amin Maalouf,4.20,"8,652",767,"3,658","3,427","1,261",227,79
Bunnicula,Deborah Howe,3.87,"66,677","2,954","22,912","21,096","16,153","4,433","2,083"
The Persian Boy,Mary Renault,4.19,"9,197",699,"4,060","3,264","1,486",296,91
The Stepford Wives,Ira Levin,3.82,"36,688","3,180","8,937","15,066","10,157","2,165",363
دایی‌جان ناپلئون,Iraj Pezeshkzad,4.19,"6,603",936,"3,143","2,072",996,267,125
Flaubert's Parrot,Julian Barnes,3.65,"14,389","1,251","3,132","5,278","4,209","1,321",449
The Book of Three,Lloyd Alexander,3.98,"76,640","3,829","26,543","28,615","16,615","3,299","1,568"
A Beautiful Mind,Sylvia Nasar,4.13,"130,495","1,610","56,176","46,079","20,653","4,677","2,910"
The Collected Stories,Colette,4.12,"1,109",55,441,417,206,35,10
Poland,James A. Michener,4.03,"10,400",679,"3,674","4,027","2,136",446,117
Mrs. McGinty's Dead,Agatha Christie,3.85,"28,941","1,504","7,111","12,162","8,149","1,217",302
The Eagle Has Landed,Jack Higgins,4.17,"55,694",723,"22,833","21,667","9,578","1,233",383
The Cyberiad,Stanisław Lem,4.16,"11,866",828,"5,308","4,020","1,854",526,158
Holiday in Death,J.D. Robb,4.33,"39,621","1,344","19,532","14,301","5,092",538,158
Woman at Point Zero,Nawal El Saadawi,4.15,"17,786","2,489","7,572","6,456","2,856",685,217
Islands in the Stream,Ernest Hemingway,3.88,"14,986",799,"4,512","5,520","3,804",926,224
Time Regained,Marcel Proust,4.50,"6,477",721,"4,345","1,341",563,141,87
The Hangman's Beautiful Daughter,Sharyn McCrumb,3.97,"5,566",213,"1,860","2,235","1,062",268,141
Mostly Harmless,Douglas Adams,3.97,"123,487","3,191","43,309","42,799","28,962","6,802","1,615"
